,ID,text,title,our rating
4,16333647301317968956016194698935682489,"Insufficient studies, unmanageable side effects. Since the administration of COVID vaccines, medical experts have called for extensive research after deaths and severe side effects occurred. Today, two pathologists present their initial findings in a press conference.  Evaluation of autopsies, case studies, picture documents. Today, September 20, the results of many months of work will be revealed for the first time. Insights into the pathological findings of autopsied COVID-19 vaccinated patients will be given by Professor Arne Burkhardt together with his colleague Professor Walter Lang at a press conference in Reutlingen, scheduled for 4 pm.  In total, the physicians took the deaths of eight deceased under the microscope. Comprehensive results are available for six people, two are not yet evaluated. In five cases, heart muscle inflammations (myocarditis) of varying severity were found. In one person who died after a Moderna vaccination, the pathologists even found microparticles in the lung tissue.  In an ordinary necropsy, the effects of vaccine damage are usually not detectable. There is also no legal requirement in the death certificate that a vaccination status such as that against COVID be queried. According to medical experts, the COVID vaccination is an innovative gene therapy based on an active principle that has not yet been used in human vaccinations. Many physicians criticize the existing studies as insufficient, and the side effects as unexplored.  Since in the past too few autopsies were performed on deaths in connection with COVID vaccinations, pathologists assume a considerable number of unreported cases in which the vaccination against COVID-19 was the cause or at least a contributory cause, as does the chief pathologist at the University of Heidelberg, Professor Peter Schirmacher. According to him, the deaths of 30 to 40 percent of those who died after vaccination could be attributed to the vaccination.  Causes of concern included deaths and severe side effects that occurred after vaccination. According to the EMA, a total of 6,367 deaths and 121,528 serious cases of vaccine side effects have been reported for the European Economic Area as of Aug. 27, 2021. In Germany, more than 131,000 suspected cases were reported to the Paul Ehrlich Institute by the end of July, of which about 14,000 were classified as serious, according to the Aug. 19, 2021, safety report.",Pathologists reveal autopsy results of deceased Corona vaccinees,Other
14,154139749593736543193749495007078155766,"Coronavirus January 15, 2021 / 21:17 23 deaths after Corona vaccination in Norway - possible connection unclear In Norway, 23 people have died so far after the administration of the first partial vaccination with the serum from Biontech/Pfizer. To what extent ""side effects"" of the vaccine were the cause is unclear.  ""Side effects"" can lead to death They were in themselves harmless and quickly subsiding side effects, announced the Norwegian Medical Agency. Whether these side effects were the causal reasons for the timely death of the vaccinated has not yet been definitively clarified. It is not to be excluded however also. Thus Sigurd Hortemo, chief physician of the Norwegian medicament authority says:  Based on these reports, we cannot rule out that frequent side effects such as fever and nausea may contribute to a more serious course and fatal outcome in some frail patients with severe underlying diseases Autopsies are also being performed in Austria As unzensuriert.at reported today, autopsies are also being performed in Austria on people who die shortly after vaccination. Community physicians have been informed of this by district governors in Lower Austria. In two deaths in Lower Austria, however, no connection with vaccination had been established, the provincial government said.  *Amendment on January 22, 2021: Since there is still no confirmation whether the deaths are causally related to vaccination, the article was changed: It is unclear to what extent ""side effects"" of the vaccine are the cause of the deaths.  If you liked the article, please support the uncensored project with a donation. By paypal (credit card) or with a bank transfer to AT58 1420 0200 1086 3865 (BIC: BAWAATWW), ltd. Uncensored",23 deaths after Corona vaccination in Norway - possible connection unclear,Other
16,332031140690157882599472705041653546304,"A video shows how Indian children pack test sticks for test kits under unhygienic conditions. Are these the same sticks that are being put up our children's noses?  It's basically a sad topic: child labor. Especially in developing countries like India, children often work in factories. In the past, it was mainly in textile production that young children had to work. Today, they are additionally exploited in the big business of Corona.  Video: Children pack chopsticks in Covid test kits This video is currently going viral. A man films children packing Corona test sticks in a confined space. In Indian, he describes what is happening. But one word is internationally understandable: ""Covid test kit."" And indeed, there are masses of the test sticks - with which we are well acquainted - being hastily transported by the small hands of the children into the common packaging.  Indian children pack chopsticks for tests on other children The hygienic conditions seem alarming. The children sit on the floor in a very confined space. A closer look also reveals insects buzzing around. The chopsticks, which will probably later be introduced into the respiratory tracts of European children, are lying on the floor next to the bare feet of the Indian child workers. The stern voice of at least one adult woman can also be heard. Is she driving the children to work? What the children face if they refuse to work is something you don't even want to imagine.  Parents concerned about dirty test sticks The poor hygienic conditions in which the test kits but also the masks are produced and packaged are also noticeable among end users. As recently as April, many parents were alarmed after examining the test sticks under a microscope or with the zoom of their smartphone cameras. That's because they found ""worms"" and other troubling parts on the test sticks, which are supposed to be introduced to their children three times a week. Wochenblick then analyzed test sticks and masks under a microscope and concluded that it must be fiber contamination.  After watching the Indian video, no one will now be surprised about the impurities on the test sticks.  More on the topic:",Video: Indian children need to pack chopsticks for Covid test kits,Other
17,240275904309256329255515238324887790726,"For months, people in Germany have had to wear masks, especially caregivers.  ""All in all, we are wearing a chemical cocktail in front of our noses and mouths that has never been tested for its toxicity and never for any long-term effects,"" Bookcomplices writes in an article.  We think that since this is surgical equipment, it should be healthy. But since most people in China, where most masks are produced, have never thought about the environment, they just use whatever works. There's every piece of dirt in the world in there. Michael Braungart, scientific director of the Hamburg Environmental Institute.  Michael Braungart, scientific director of the Hamburg Environmental Institute, now comments on the subject of masks and talks about a chemical cocktail in front of the mouth and nose.  Mr. Braungart goes into the composition of FFP masks and ""medical masks - OP masks"".  Even though the fleece of most FFP2 masks appears to be paper, it is a thermoplastic: polypropylene.  In addition, there are adhesives, binders, antioxidants, UV stabilizers in large quantities.  In some were also large amounts of formaldehyde or aniline, and then in addition artificial fragrances to mask the unpleasant chemical smell.  In the case of the blue colored surgical masks, cobalt is also usually used as a dye.  All in all, we are wearing a chemical cocktail in front of our nose and mouth, which has never been tested for its toxicity and never for any long-term effects.  And because the chemicals alone don't seem to be enough, we also inhale microfiber particles that are just the right size to lodge in our lungs or travel from there further through the body.  The basic problem: The ingredients of the masks are not affected by the approval. Only the functionality is tested.  If the mask shows sufficient filtering efficiency, it is certified.  And then mainly the older ones also get a letter from the federal government with two vouchers with which they can pick up six masks each at the pharmacy for an additional payment of two euros. Of all things, pharmacies make sure that people get their poison cocktail.  In any case, the masks are not suitable for multiple use. The federal government doesn't seem to realize this, as it only provides the retirees with six discounted masks for two full months.  In the meantime it would be nevertheless a beautiful task for the Federal Ministry of Health to examine times the masks prescribed by federation and countries for their Gesundheitsschädlichkeit. Perhaps Jens Spahn and Lothar Wieler would also like to know what they have in their faces.  And with which long-term damages by the mask regulation our health service may argue then in a few years.  We ask everyone to collect evidence.  Evidence that police officers, teachers, principals, employers, etc. have specifically ordered you to wear a mask.  We need names, witnesses, videos, stories about this.  All those who participate in these acts through their contribution must be documented historically.  Call by RA Markus Haintz, which we agree in any case.  Feel free to follow us on Telegram - Corona is not the problem","With many masks, we have poison in the face",Other
151,176666464897941600954427508969298150442,"Coronaviruses can persist on surfaces at room temperature for up to nine days and remain infectious. On average, they survive between four and five days, a research team from Greifswald and Bochum in Germany writes in the Journal of Hospital Infection. But this is a study of existing scientific literature, not new research on 2019-nCoV.  ""Cold and high humidity increase their lifespan even more,"" Günter Kampf of the Institute of Hygiene and Environmental Medicine at Greifswald University Medical Center said Friday. Since there is no specific therapy against coronaviruses, he said, prevention of infection is important. Like all droplet infections, the virus also spreads via hands and surfaces that are frequently attacked. ""In hospitals, for example, these can be doorknobs, but also doorbells, bedside tables, bedframes and other objects in the direct vicinity of patients,"" Kampf explained.  None of this is new. Together with virologist Eike Steinmann of the Ruhr University in Bochum, Kampf had compiled findings from studies on coronaviruses and their inactivation for a planned technical book. Due to the current situation, they published the scientific facts from their literature research. However, they assume that their findings on other coronaviruses are transferable to the new virus 2019-nCoV. ""Different coronaviruses were studied, and the results were all similar,"" Steinmann explained.  For disinfection, the researchers recommend agents based on alcohol (ethanol), hydrogen peroxide or sodium hypochlorite. If these were used in the right concentration, they drastically reduced the number of infectious coronaviruses within one minute - from one million to just 100 potentially pathogenic particles. If preparations based on other active ingredients were used, they should have at least a limited effect against viruses. ""Usually that is enough to significantly reduce the risk of infection,"" Kampf said. Other researchers had previously advised more frequent hand washing.",Highly infectious and resistant: coronaviruses survive up to nine days on surfaces,Other
167,260614987817271259571031820478490270894,"Study on Corona excess mortality: Did 45 percent die as a result of the lockdown?  A preliminary study by the Hochrhein Clinic in Waldshut-Tiengen proves: There was excess mortality in the spring, but only about half of the deaths were related to COVID-19. Many people apparently died because they did not go to the doctor for fear of infection.  In the fight against the corona crisis, many countries, including Germany, are again relying on a lockdown. But already during the first Corona lockdown, reports accumulated worldwide that the number of patients being treated in emergency medical care had dropped drastically.  Experts feared that health damage and even deaths could result if medical treatment for acute illnesses not related to COVID-19 were delayed or not received at all. This would be the case, for example, if people were reluctant to go to the hospital for fear of infection. This ""collateral damage"" could cause far worse consequences than the coronavirus itself.  A preliminary study by physicians at the Hochrhein Clinic in Waldshut-Tiengen has now analyzed the consequences of the first lockdown for the first time and has now been able to partially confirm these assessments. In the district of Waldshut (165,000 inhabitants) in Baden-Württemberg, 227 people died in April of this year. According to the study, the excess mortality compared to the average from 2016 to 2019 was thus 37 percent. However, of the 62 additional deaths, only 55 percent died with or from COVID-19. As study author Stefan Kortüm explained, the number of inpatient treatments due to complications of chronic diseases decreased by 73 percent during the same period. The researchers suspect that the remaining deaths are what they call ""collateral damage,"" due in part to ""reduced utilization of emergency medical structures."" This ""reduced utilization"" could be explained by the fact that many people stopped going to the doctor for fear of contracting the coronavirus. Kortüm explains that this has led to a worsening of the state of health, especially in chronically ill patients:  In particular, people with acute exacerbations of chronic diseases, such as lung or heart disease, but also tumor diseases, did not seek medical help during this period.  Also particularly tragic is the fact that, compared to previous years, more than twice as many people were apparently found alone and lifeless in their homes. According to the study, ""There was a noticeable increase (at the emergency centers, editor's note) in the alarm keyword ""presumed death"" (+105%). This keyword is used when, upon discovery of a lifeless person, there is clear evidence that the person has been there for an extended period of time or that there are certain signs of death.""  But the increase in ""collateral damage"" can't just be attributed to the fact that people stopped going to the doctor for fear of contracting the virus. The study's findings suggest that contact restrictions and the practice of ""social distancing"" also led to additional deaths. For the elderly in particular, it is often family members and those close to them who are concerned about them and arrange for them to see a doctor. As a result of the fact that seniors hardly ever received visits from relatives, deteriorations in health often went unnoticed.  The medical experts also criticize the fact that all public reporting was and still is focused exclusively on the COVID-19 issue. Other medically relevant topics, they say, have completely faded into the background in the media and thus out of public awareness.  Based on current developments, the authors of the study therefore urgently recommend that crisis communication and media coverage be more balanced so that ""people with acute health problems are not discouraged from seeking the medical help they need."" In addition, the current contact restrictions should be critically reviewed and reduced to a minimum, especially in the private sphere, according to the medical experts.  Editor's note: An earlier version of the article contained some misleading language that suggested the study provided direct evidence of excess mortality from the lockdown. The study authors point out that it is impossible to know exactly what the excess mortality would have been without lockdown. But ""even if causality cannot be demonstrated with absolute certainty, it seems very plausible,"" the study says.  Read more - ""Lockdowns kill"": Trump's adviser backs down after criticism of Corona requirements in RT interview",Corona excess mortality study: did 45 percent die as a result of the lockdown?,Other
180,335631107940928154472211384267652416325,"An independent study in Italy concludes that the CO2 levels measured under the masks exceed the standard values for indoor air quality in school buildings and even the permitted values in the workplace. The video presentation of the results can be seen here.  Since November 4, 2020, there is a general obligation in Italy to use an oral-nasal mask (MNB for short) on all people over the age of years, both outdoors and indoors, especially for the entire duration of classes, in order to keep the spread of the Sars-Cov-2 virus in the population at bay. To determine whether the symptoms often complained of by patients, such as poor concentration, headaches, fatigue, difficulty breathing, dizziness, sore throat, were really due to prolonged wearing of an MNB, a multidisciplinary team of experts conducted tests to determine the actual concentration of CO2 under the MNB.  Measurements were taken on 24 healthy subjects of different ages in a seated position (mean 48, range 5-88 years) while breathing. The portable carbon dioxide analyzer G100 from Geotech was used as the measuring instrument (www.geotechuk.com), with a measuring range of 0-20 vol% CO2 (infrared detector), with pump 100 cm3/ min, measuring accuracy 1% of the measuring range. The tube was placed under the nose and the pump was activated at the beginning of inhalation and turned off at the end. The same applies to the measurements during expiration.  Without the mask, the average CO2 value was 3143 ppm (range 2000 - 5,000); with the surgical mask, an average CO2 value of 7292 ppm (range 5000 - 13,000), i.e. 232% of the normal value, was measured.  For FFP2-N95 masks, the average CO2 value was 11,000 ppm (range 7000 - 15,000), 349 percent of normal.  The everyday masks (fabric masks / neck warmers (""hose cloths"") performed particularly poorly with an average CO2 value of 11,500 ppm (range 5000 - 24,000), 365 percent of the baseline value.  The even worse result of the cloth masks compared to the surgical masks is probably due to their lower permeability. Speaking or, worse, singing with MNB further increases the amount of CO2 inhaled and exhaled.  Tables 4-8 of the study report the subjects' results in the different situations (exhalation only, inhalation only, and mixed exhalation and inhalation), with the various MNBs.  The experts conclude that symptoms complained of by patients after prolonged use are likely to be due to the excessive carbon dioxide levels. It is precisely these high levels that are incompatible with optimal oxygenation of the blood.  The experts also examined more than 40 studies on the usefulness of masks and found no evidence of efficacy in preventing respiratory infections when masks were extended to the entire population outside of healthcare facilities. On the contrary, some studies proved how humidity, repeated use of masks and insufficient filtration function promote an increase in infections. A study of thousands of people during a pilgrimage to Mecca found more respiratory infections in the group that wore masks continuously. Dermatological forms such as ""maskne"" (mask acne) occur frequently. There were also phenomena of ""risk compensation"" for a false sense of security generated by the use of the mask. Finally, the increase in breathing resistance and the associated increase in the work of the respiratory muscles (pressure drop) when FFP2 masks are used must be taken into account, he said.  The WHO currently recommends MNB only for a sick person with respiratory symptoms, or in the opposite case, when caring for a sick person: however, this provision can be extended by the respective states. The MNB is useful in the work environment in case of exposure to toxic dusts, in hospital infection departments, or in situations where persons suffering from respiratory infections have to wear the MNB to protect other persons in the same room, and vice versa persons who have to take care of (respiratory infections) sick persons. Thus, it would be important that persons who must work equipped with MNB be trained accordingly, and be allowed regular MNB-free intervals in which they can breathe without one. In conclusion, wearing an MNB can only be recommended for short time intervals, because wearing one is harmful to health.  In addition to the potential for physical harm, the masks are also problematic from a psychological point of view: the mask symbolizes danger; by covering the face, it is difficult to recognize human expressions and emotions in the person opposite. By reducing the recognizable facial surface, emotional contact is reduced, which leads to children - but also adults - becoming weak, fearful, insecure, and subsequently even immunosuppressed, since the psyche is directly related to an adequate immune response. From a psychological perspective, he said, government-imposed health regulations are harmful to healthy children and potentially cause permanent mental disorders. Raising children to fear physical proximity has a detrimental effect on the development of their self-esteem. Furthermore, the fictitious correlation between the possible death of loved ones, although difficult to prove in practice, impedes children's ability to relate to those around them. In adults, too, the use of the mask suggests illness, contagion, and death, and suggests that human proximity means danger, causes psychological discomfort, which in turn contributes to limiting creative functions of the brain. Psychologists observed a dramatic increase in anxiety disorders, feelings of social isolation, panic attacks and suicides.  Dr. Bernhard Oberrauch, architect and building biologist, and Dr. Marco Adami, physicist, conducted the technical investigation. The physicians from various specialties Dr.med. Veronika Dellasega, Dr.med. Roberto Cappelletti, Dr.med. Elisabetta Galli, Dr.med. Bernhard Thomaser, Dr.med. Heike Müller and Dr.med. Maria Paregger elaborated the study and conducted the literature research. The psychologist Dr. Ulrich Gutweniger contributed the evaluation of mask wearing from a psychological point of view. The legal classification of the findings was carried out by the lawyer Dr. Renate Holzeisen.",Italy: Study proves strongly increased CO2 level under the mask,Other
186,301731704585442226557663538251743832238,"Caution: unfortunately, who reported this entry to VAERS is not apparent (supposedly anyone can make entries there without control), so there is a possibility that this entry was made by an anti-vaccinationist as a deterrent.  The fear instilled in people by the media has meant that since the COVID pandemic began we have seen some really absurd things from people, some can be funny, ones where you don't know whether to laugh or cry, but others, like this last one, cross any kind of line.  And the simple fact of offering an innocent 2-year-old girl, who is perfectly healthy, to a trial of an experimental injection that is not known what serious problems it could cause in the long run, and where we already have many examples of injuries and deaths reported after administration, is a very sad situation.  Of course, no one can say 100% that it was the vaccine that was responsible for the death of this little girl. However, she died only 6 days after the vaccination and what is very certain is that her parents will be concerned with this issue from now on and for the rest of her life.  A two year old girl has unfortunately died a week after receiving the COVID vaccine from Pfizer/BioNTech. The vaccine is not yet approved for use in children, but trials have begun in recent weeks where parents can volunteer their children to participate.  The death was reported to the U.S. Vaccine Adverse Event Reporting System (VAERS). Details show the two-year-old from Virginia received her second dose of the experimental injection from Pfizer on Feb. 25, 2021. But four days later, on March 1, the girl was hospitalized for becoming seriously ill.....  The report to VAERS - which you can find here by searching for VAERS ID - 1074247 in the search, which then reveals that the girl died just two days after being hospitalized, on March 3. Exactly 6 days after receiving the second dose of the vaccine from Pfizer.  The report also states that she had no other life-threatening conditions, no birth defects, no permanent disability and no pre-existing conditions.  As The Daily Expose reports, Pfizer's experimental vaccine has not yet been approved for use in children, so we can only assume that her parents voluntarily enrolled her to participate in the current trials being conducted in the U.S. with young children. Pfizer recently began a national study testing the vaccine in children younger than 12.  One started last week at Stanford Medicine, with children ages 2 to 5.  Dr. Yvonne Maldonado, a so-called pediatric infectious disease expert who is leading the Stanford study, said, ""We need to make sure children are protected...""  Here's another explanation of how vaccine injuries can be found on the site from the CDC.","After second dose of Pfizer, two-year-old girl dies 6 days later",Other
200,319778627643547668680550956334611902850,"I am informing you exclusively about a fact which, well weighed up, I will unfortunately describe as a scandal of the first order. Much more. The facts of the case threaten, if they are not reversed, one of our important cornerstones in the democracy of the Federal Republic of Germany. The freedom of the press, the freedom of reporting.  The most important legal source for public broadcasting in Germany is the Basic Law. With Article 5, Paragraph 1, our constitution created the legal basis for the establishment and continued existence of public broadcasting. With the mandate to reach all people; to reflect and portray all points of view; to ensure that all voices and perspectives are heard. That's what it rightly says on ARD's page on the 70th anniversary of public broadcasting.  Under the responsibility of the Intendantin of the Bavarian broadcasting Dr. Katja Wildermuth, the BR starts the largest attack on the free reporting, since establishment of the ARD 1950. Bavarian broadcasting wants to let in its reporting only vaccinated humans before the camera.  On December 1, 2021, Bayerisches Fernsehen's main production service department sent out an in-house urgent recommendation that only protagonists who have been vaccinated be allowed in front of the camera in outside productions. Shoots should be avoided where there is no control over the vaccination status and behavior of those present. The protagonists are to be informed in advance of a shoot that they must wear an FFP2 mask.  You can see this internal instruction distributed via email here. To protect the recipient, personal references are blacked out. The email consists of two parts. The cover letter and the attachment that was sent along.  To explain, an outside production is anything that does not take place in the studio. So a reportage on location, a street survey, a feed for the news, cultural, social and/or political reporting with a camera team.  That means, after that urgent recommendation, only vaccinated people get to speak on Bavarian television, i.e. this ARD station. Unless the people being reported on in the report are exclusively unvaccinated.  What does this mean for the work of an editor? From now on, an editor of Bavarian television is to allow artists, tissue workers, politicians, scientists and others to speak in their original language only if these persons have been vaccinated. According to the instruction, in logical consequence the editor is to inquire already during his research whether he is dealing with a vaccinated or an unvaccinated person, whereby the latter is consequently denied the right of free expression of opinion on this channel. Furthermore, the editor should not shoot if, in his estimation, he has no control over the behavior of those present as well as their vaccination status.  This means that from now on, critical voices on the political situation will not be heard at Bayerischer Rundfunk if they are unvaccinated. You will now know from every person you see in Bavarian Radio reports who is interviewed on whatever topic that he or she has been vaccinated.  Regarding the meaning of an ""urgent recommendation"" - which is what the letter was circulated as - the Wiesbaden Administrative Court stated in a school ruling on masks: ""The urgent recommendation (of the school) goes beyond a simple request or recommendation. For a form of coercion would be exercised, which would lead to the fact that in case of a deviation 'sanctions' or even discriminatory behavior (by the teaching staff) could be expected with high probability."" [VG Wiesbaden, August 24, 2020 - Az. 6 L 938/20.WI] What does all this mean for you as a viewer? You are paying broadcasting fees for coverage that is now only supposed to be conformist. - I shy away from comparisons or words from the German past because they would be deliberately misinterpreted.  The fact that the Bavarian Broadcasting Corporation, as an institution of the ARD, is crossing a red line that is no longer compatible with serious journalism, and that many presenters, editors and editors are going down this path, is reminiscent of dark times and is an unprecedented departure in post-war Germany from the standards of free reporting, free press, which is important for a democracy, and is an obligation of the public broadcasters that is enshrined in the Interstate Broadcasting Treaty.  Since I see danger in delay here, I am making this information available to you immediately. Naturally, I have asked the Director-General of BR, Dr. Katja Wildermuth, for a statement in a letter.",ARD scandal. BR crosses red line.,Other
218,316131518155431334239719374502705778598,"In a joint video production with with Prof. Arne Burkhardt, Prof. Sucharit Bhakdi now discusses scientific findings that not only indicate that the vaccines do not work. A causal role of these substances in post-vaccine deaths is suspected and is the subject of further investigation.  A contribution by Edith Brötzner Here is the one-hour video, published via Kopp-Verlag: Instead of continuing to drive people to vaccination, the use of gene-based COVID-19 vaccines should be stopped immediately after these scientific findings are presented. These vaccines can neither protect against viral infection, nor has any positive effect been proven to date. The two professors argue the well-founded suspicion that the vaccines can trigger self-destructive processes, possibly leading to severe illness and even death.  We are physicians seeking the truth. Prof. Sucharit Bhakdi Numerous autopsies performed Prof. Burkhardt provides a summary of his latest histopathological findings in this regard after examining fifteen patients who died within days to months of vaccination. He describes a striking and unique lymphocytic infiltration centered in the blood vessels, but which may involve many other organs, most notably the heart and lungs. For Bhakdi and Burkhardt, these findings point to ""vaccine-induced autoimmune-like pathology.""  The vaccines can lead to self-destructive processes in the body. Prof. Bhakdi, Prof. Burkhardt Kopp Publishing describes the content of the video with the succinct words, ""It is to be expected that such self-destructive processes will have myriads of side effects in all vaccinated individuals, especially after booster vaccinations. Undoubtedly, injection of gene-based COVID-19 vaccines poses a threat to life and limb."" Bhakdi and Burkhardt emphasize that the deaths studied included both mRNA- and vector-based vaccines, as well as the active ingredients from all four major vaccine producers.  All the facts are revealed in this exciting video. Anyone considering getting the booster vaccine should definitely take a look in advance. After vaccination, it may be too late. At the end of the day, we all bear the responsibility for our lives and the lives of our children and the consequences if the sting goes wrong.  Note: In an earlier version of this article, the title read, ""Prof. Bhakdi presents scientific evidence of deadly covid vaccine."" In doing so, we followed the Kopp Verlag's explanations. However, Bhakdi has meanwhile emphasized several times that evidence does not come from him but from pathologists and that the current status is that of a well argued theory, but that further work is needed before definitive proof can be provided. In any case, the evidence for this theory is becoming more and more solid.","Prof. Bhakdi on scientific findings on ""lethal"" covid vaccine",Other
