cleaner__getlemmatisation,cleaner__getstemmer,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
True,True,False,10.0,0.1,rbf,True,,0.7219512195121951
True,True,False,10.0,0.1,rbf,False,,0.7219512195121951
False,True,False,10.0,0.1,rbf,True,,0.7195121951219512
False,True,False,10.0,0.1,rbf,False,,0.7195121951219512
True,False,False,10.0,0.1,rbf,True,,0.7146341463414634
True,False,True,10.0,0.1,rbf,True,,0.7097560975609756
True,True,False,10.0,0.1,rbf,True,english,0.7073170731707317
True,True,False,10.0,0.1,rbf,False,english,0.7073170731707317
False,False,False,10.0,0.1,rbf,True,,0.7073170731707317
True,False,False,10.0,0.1,rbf,False,,0.7073170731707317
True,True,False,10.0,0.01,linear,False,english,0.7048780487804878
True,True,False,10.0,1.0,linear,True,english,0.7048780487804878
True,True,False,10.0,1.0,linear,False,english,0.7048780487804878
True,True,False,10.0,0.01,linear,True,english,0.7048780487804878
True,True,False,10.0,0.1,linear,True,english,0.7048780487804878
True,True,False,10.0,0.001,linear,False,english,0.7048780487804878
True,True,False,10.0,0.1,linear,False,english,0.7048780487804878
True,True,False,10.0,0.001,linear,True,english,0.7048780487804878
True,False,False,10.0,0.1,rbf,True,english,0.7048780487804878
True,False,False,1.0,0.001,linear,True,english,0.7024390243902439
True,False,False,1.0,0.01,linear,True,english,0.7024390243902439
True,False,False,1.0,0.1,linear,True,english,0.7024390243902439
True,False,False,1.0,1.0,linear,True,english,0.7024390243902439
False,False,False,10.0,1.0,sigmoid,True,english,0.7024390243902439
False,True,False,10.0,0.1,linear,False,english,0.7
False,True,False,10.0,0.01,linear,False,english,0.7
False,True,False,10.0,0.001,linear,False,english,0.7
False,True,False,10.0,0.1,linear,True,english,0.7
False,True,False,10.0,0.01,linear,True,english,0.7
False,True,False,10.0,0.1,rbf,True,english,0.7
False,True,False,10.0,0.1,rbf,False,english,0.7
True,True,False,10.0,0.1,sigmoid,True,english,0.7
True,True,False,10.0,0.1,sigmoid,False,english,0.7
False,True,False,10.0,1.0,linear,True,english,0.7
False,True,True,10.0,0.1,rbf,False,,0.7
False,True,True,10.0,0.1,rbf,True,,0.7
False,True,False,10.0,0.001,linear,True,english,0.7
False,True,False,10.0,1.0,linear,False,english,0.7
True,False,False,10.0,0.1,rbf,False,english,0.7
True,True,False,1.0,1.0,rbf,False,english,0.7
True,True,False,1.0,1.0,rbf,True,english,0.7
True,True,False,1.0,0.001,linear,False,english,0.7
True,True,False,1.0,1.0,linear,False,english,0.7
True,True,False,1.0,1.0,linear,True,english,0.7
True,True,False,1.0,0.01,linear,True,english,0.7
True,True,False,1.0,0.1,linear,False,english,0.7
True,True,False,1.0,0.001,linear,True,english,0.7
True,True,False,1.0,0.01,linear,False,english,0.7
True,True,False,1.0,0.1,linear,True,english,0.7
True,False,False,10.0,0.1,sigmoid,True,english,0.7
True,False,False,10.0,0.001,linear,False,english,0.6975609756097562
True,False,False,10.0,0.01,linear,False,english,0.6975609756097562
True,False,False,10.0,0.1,linear,False,english,0.6975609756097562
True,False,False,10.0,1.0,linear,False,english,0.6975609756097562
False,True,False,1.0,1.0,linear,False,english,0.697560975609756
True,True,True,10.0,0.1,rbf,False,,0.697560975609756
True,True,True,10.0,0.1,rbf,True,,0.697560975609756
True,False,True,10.0,0.1,rbf,False,,0.697560975609756
True,False,False,10.0,0.01,linear,True,,0.697560975609756
True,False,False,10.0,0.1,linear,True,,0.697560975609756
True,False,False,10.0,1.0,linear,True,,0.697560975609756
False,True,False,10.0,0.1,sigmoid,False,english,0.697560975609756
False,True,False,10.0,0.1,sigmoid,True,english,0.697560975609756
False,True,False,1.0,0.001,linear,True,english,0.697560975609756
False,True,False,1.0,0.001,linear,False,english,0.697560975609756
False,True,False,1.0,0.01,linear,True,english,0.697560975609756
