cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,100.0,l2,newton-cg,True,,0.7780654906403409
False,False,100.0,l2,lbfgs,True,,0.7780654906403409
False,False,100.0,l2,liblinear,True,,0.7780654906403409
True,False,10.0,l2,newton-cg,True,,0.7780564996133857
True,False,10.0,l2,lbfgs,True,,0.7780564996133857
True,False,10.0,l2,liblinear,True,,0.7770584956213699
True,True,10.0,l2,lbfgs,True,,0.7760544976113838
True,True,10.0,l2,newton-cg,True,,0.7760544976113838
False,True,100.0,l2,liblinear,True,,0.7750624876373379
False,True,100.0,l2,newton-cg,False,english,0.7740644836453221
False,True,100.0,l2,liblinear,False,english,0.7740644836453221
False,True,100.0,l2,lbfgs,False,english,0.7740644836453221
False,True,100.0,l2,newton-cg,True,,0.7740614866363368
False,True,100.0,l2,lbfgs,True,,0.7740614866363368
False,True,10.0,l2,lbfgs,True,,0.7740465015914119
False,True,10.0,l2,newton-cg,True,,0.7740465015914119
True,False,100.0,l2,liblinear,True,,0.7730634826443209
True,False,100.0,l2,lbfgs,True,,0.7730634826443209
True,False,100.0,l2,newton-cg,True,,0.7730634826443209
True,True,10.0,l2,liblinear,True,,0.773054491617366
False,True,10.0,l2,liblinear,True,,0.7720504936073799
True,True,100.0,l2,newton-cg,False,,0.770069470668273
True,True,100.0,l2,lbfgs,False,,0.770069470668273
True,True,100.0,l2,newton-cg,True,,0.7700604796413179
True,True,100.0,l2,lbfgs,True,,0.7700604796413179
False,False,10.0,l2,newton-cg,True,,0.7700544856233479
False,False,10.0,l2,lbfgs,True,,0.7700544856233479
True,False,100.0,l2,liblinear,False,,0.769071466676257
True,False,100.0,l2,lbfgs,False,,0.769071466676257
True,False,100.0,l2,newton-cg,False,,0.769071466676257
True,False,10.0,l2,liblinear,False,,0.7690624756493021
True,True,100.0,l2,liblinear,True,,0.769062475649302
False,True,10.0,l2,liblinear,False,english,0.768070465675256
False,True,10.0,l2,newton-cg,False,english,0.768070465675256
