cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,100.0,l2,newton-cg,True,,0.5595238095238095
False,True,100.0,l2,lbfgs,True,,0.5595238095238095
False,True,100.0,l2,liblinear,True,,0.5583333333333333
False,True,100.0,l2,newton-cg,True,english,0.557142857142857
False,True,100.0,l2,liblinear,True,english,0.557142857142857
False,True,100.0,l2,lbfgs,True,english,0.557142857142857
False,True,10.0,l2,liblinear,False,,0.5547619047619048
False,False,100.0,l2,newton-cg,False,english,0.5547619047619047
False,False,100.0,l2,lbfgs,False,english,0.5547619047619047
False,False,100.0,l2,liblinear,False,english,0.5547619047619047
False,False,10.0,l2,newton-cg,True,,0.5535714285714286
False,False,100.0,l2,liblinear,True,,0.5535714285714286
False,False,10.0,l2,lbfgs,True,,0.5535714285714286
False,False,100.0,l2,lbfgs,True,,0.5535714285714286
False,False,10.0,l2,liblinear,True,,0.5535714285714286
False,False,100.0,l2,newton-cg,True,,0.5535714285714286
False,True,10.0,l2,lbfgs,False,,0.5535714285714286
False,True,10.0,l2,newton-cg,False,,0.5535714285714286
False,False,10.0,l2,newton-cg,False,english,0.5523809523809523
False,False,10.0,l2,lbfgs,False,english,0.5523809523809523
False,False,10.0,l2,liblinear,False,english,0.5523809523809523
True,True,100.0,l2,liblinear,False,english,0.5511904761904762
True,True,100.0,l2,lbfgs,False,english,0.5511904761904762
True,True,100.0,l2,newton-cg,False,english,0.5511904761904762
False,False,100.0,l2,lbfgs,True,english,0.5511904761904761
False,False,100.0,l2,newton-cg,True,english,0.5511904761904761
False,False,100.0,l2,liblinear,True,english,0.5511904761904761
False,True,100.0,l2,liblinear,False,,0.55
False,True,100.0,l2,lbfgs,False,,0.55
True,False,100.0,l2,newton-cg,False,english,0.55
False,True,100.0,l2,newton-cg,False,,0.55
False,False,10.0,l2,liblinear,False,,0.55
True,False,100.0,l2,liblinear,False,english,0.55
True,False,100.0,l2,lbfgs,False,english,0.55
True,False,10.0,l2,liblinear,True,,0.5499999999999999
True,True,100.0,l2,newton-cg,True,english,0.5499999999999999
True,True,100.0,l2,lbfgs,True,english,0.5499999999999999
True,True,100.0,l2,liblinear,True,english,0.5499999999999999
False,False,10.0,l2,lbfgs,False,,0.5488095238095239
False,False,10.0,l2,newton-cg,False,,0.5488095238095239
False,True,100.0,l2,liblinear,False,english,0.5488095238095237
False,True,100.0,l2,newton-cg,False,english,0.5488095238095237
True,False,10.0,l2,newton-cg,True,,0.5488095238095237
False,True,100.0,l2,lbfgs,False,english,0.5488095238095237
True,False,10.0,l2,lbfgs,True,,0.5488095238095237
False,True,10.0,l2,newton-cg,True,,0.5464285714285715
False,True,10.0,l2,lbfgs,True,,0.5464285714285715
False,True,10.0,l2,liblinear,True,,0.5464285714285715
False,False,100.0,l2,newton-cg,False,,0.5452380952380953
False,False,100.0,l2,lbfgs,False,,0.5452380952380953
False,True,10.0,l2,newton-cg,False,english,0.5452380952380952
True,True,100.0,l2,liblinear,True,,0.5452380952380952
False,True,10.0,l2,liblinear,False,english,0.5452380952380952
False,True,10.0,l2,lbfgs,False,english,0.5452380952380952
False,False,100.0,l2,liblinear,False,,0.5440476190476191
True,False,100.0,l2,liblinear,True,,0.544047619047619
True,True,100.0,l2,newton-cg,True,,0.544047619047619
True,True,100.0,l2,lbfgs,True,,0.544047619047619
True,False,100.0,l2,newton-cg,True,,0.544047619047619
True,False,100.0,l2,lbfgs,True,,0.544047619047619
True,True,10.0,l2,lbfgs,False,english,0.5428571428571429
True,True,10.0,l2,liblinear,False,english,0.5428571428571429
True,True,10.0,l2,newton-cg,False,english,0.5428571428571429
False,True,10.0,l2,lbfgs,True,english,0.5428571428571428
False,True,10.0,l2,newton-cg,True,english,0.5428571428571428
True,False,10.0,l2,liblinear,False,english,0.5428571428571428
True,False,10.0,l2,lbfgs,False,english,0.5428571428571428
True,False,10.0,l2,newton-cg,False,english,0.5428571428571428
True,True,10.0,l2,newton-cg,True,english,0.5428571428571428
True,False,100.0,l2,liblinear,True,english,0.5428571428571428
True,False,100.0,l2,lbfgs,True,english,0.5428571428571428
True,True,10.0,l2,liblinear,True,english,0.5428571428571428
True,False,100.0,l2,newton-cg,True,english,0.5428571428571428
True,True,10.0,l2,lbfgs,True,english,0.5428571428571428
False,True,10.0,l2,liblinear,True,english,0.5428571428571428
True,False,100.0,l2,liblinear,False,,0.5416666666666667
True,False,10.0,l2,liblinear,True,english,0.5404761904761904
False,False,10.0,l2,liblinear,True,english,0.5404761904761904
False,False,10.0,l2,newton-cg,True,english,0.5404761904761904
True,False,100.0,l2,lbfgs,False,,0.5404761904761904
True,False,100.0,l2,newton-cg,False,,0.5404761904761904
False,False,10.0,l2,lbfgs,True,english,0.5404761904761904
True,True,10.0,l2,newton-cg,True,,0.5392857142857143
True,False,10.0,l2,lbfgs,True,english,0.5392857142857143
True,True,10.0,l2,lbfgs,True,,0.5392857142857143
True,False,10.0,l2,newton-cg,True,english,0.5392857142857143
True,True,100.0,l2,liblinear,False,,0.5380952380952381
False,True,1.0,l2,liblinear,True,english,0.5380952380952381
True,False,10.0,l2,newton-cg,False,,0.536904761904762
True,False,10.0,l2,lbfgs,False,,0.536904761904762
True,False,10.0,l2,liblinear,False,,0.536904761904762
True,True,10.0,l2,liblinear,True,,0.5369047619047619
False,True,1.0,l2,lbfgs,True,english,0.5369047619047619
False,True,1.0,l2,newton-cg,True,english,0.5369047619047619
False,False,1.0,l2,lbfgs,True,english,0.5357142857142857
False,False,1.0,l2,liblinear,True,english,0.5357142857142857
False,False,1.0,l2,newton-cg,True,english,0.5357142857142857
False,False,1.0,l2,liblinear,True,,0.5357142857142857
False,False,1.0,l2,lbfgs,True,,0.5357142857142857
False,False,1.0,l2,lbfgs,False,english,0.5345238095238095
True,True,100.0,l2,lbfgs,False,,0.5345238095238095
False,False,1.0,l2,newton-cg,False,english,0.5345238095238095
False,False,1.0,l2,liblinear,False,english,0.5345238095238095
True,True,100.0,l2,newton-cg,False,,0.5345238095238095
False,False,1.0,l2,newton-cg,True,,0.5345238095238095
False,True,1.0,l2,liblinear,False,english,0.5321428571428571
False,True,1.0,l2,lbfgs,False,english,0.5321428571428571
False,True,1.0,l2,newton-cg,False,english,0.5321428571428571
False,True,1.0,l2,liblinear,True,,0.5285714285714286
True,True,1.0,l2,lbfgs,False,english,0.5273809523809524
True,True,10.0,l2,liblinear,False,,0.5273809523809524
False,True,1.0,l2,newton-cg,True,,0.5273809523809524
True,True,1.0,l2,newton-cg,False,english,0.5273809523809524
True,True,1.0,l2,liblinear,False,english,0.5273809523809524
False,True,1.0,l2,lbfgs,True,,0.5273809523809524
True,True,1.0,l2,lbfgs,True,english,0.5261904761904762
True,True,10.0,l2,newton-cg,False,,0.5261904761904762
True,True,1.0,l2,newton-cg,True,english,0.5261904761904762
True,True,1.0,l2,liblinear,True,english,0.5261904761904762
True,True,10.0,l2,lbfgs,False,,0.5261904761904762
False,True,1.0,l2,newton-cg,False,,0.5238095238095238
False,True,1.0,l2,lbfgs,False,,0.5238095238095238
False,False,1.0,l2,lbfgs,False,,0.5226190476190475
False,False,1.0,l2,liblinear,False,,0.5226190476190475
False,False,1.0,l2,newton-cg,False,,0.5226190476190475
True,False,1.0,l2,liblinear,False,english,0.5202380952380953
True,False,1.0,l2,newton-cg,True,english,0.5190476190476191
True,False,1.0,l2,newton-cg,True,,0.5190476190476191
True,False,1.0,l2,lbfgs,True,english,0.5190476190476191
True,False,1.0,l2,lbfgs,True,,0.5190476190476191
False,True,1.0,l2,liblinear,False,,0.519047619047619
True,False,1.0,l2,newton-cg,False,english,0.5178571428571429
True,False,1.0,l2,lbfgs,False,english,0.5178571428571429
True,False,1.0,l2,liblinear,True,english,0.5178571428571429
True,False,1.0,l2,liblinear,True,,0.5178571428571429
False,True,0.1,l2,newton-cg,False,english,0.5166666666666666
False,True,0.1,l2,lbfgs,False,english,0.5166666666666666
True,True,1.0,l2,liblinear,True,,0.5154761904761905
False,True,0.1,l2,liblinear,False,english,0.5154761904761904
True,True,1.0,l2,lbfgs,True,,0.5142857142857143
True,True,1.0,l2,newton-cg,True,,0.5142857142857143
True,True,1.0,l2,lbfgs,False,,0.5142857142857142
True,True,1.0,l2,liblinear,False,,0.5142857142857142
True,True,1.0,l2,newton-cg,False,,0.5142857142857142
False,True,0.1,l2,liblinear,True,english,0.511904761904762
False,True,0.01,l2,newton-cg,False,english,0.5107142857142857
False,True,0.01,l2,lbfgs,False,english,0.5107142857142857
False,True,0.1,l2,lbfgs,True,english,0.5095238095238095
False,True,0.1,l2,newton-cg,True,english,0.5095238095238095
False,False,0.1,l2,lbfgs,False,english,0.5083333333333333
False,False,0.1,l2,newton-cg,False,english,0.5083333333333333
False,False,0.1,l2,liblinear,False,english,0.5083333333333333
False,True,0.01,l2,liblinear,True,english,0.5071428571428571
