cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
True,True,10.0,l2,liblinear,False,,0.47
True,False,10.0,l2,liblinear,False,,0.47
False,False,10.0,l2,lbfgs,False,,0.4666666666666666
False,False,10.0,l2,newton-cg,False,,0.4666666666666666
True,True,100.0,l2,liblinear,False,,0.4666666666666666
True,False,10.0,l2,newton-cg,False,,0.465
True,False,100.0,l2,lbfgs,False,,0.465
True,False,100.0,l2,lbfgs,True,,0.465
True,False,100.0,l2,newton-cg,False,,0.465
True,False,10.0,l2,lbfgs,False,,0.465
True,False,100.0,l2,newton-cg,True,,0.465
True,True,100.0,l2,lbfgs,False,,0.465
True,True,100.0,l2,newton-cg,False,,0.465
True,True,10.0,l2,liblinear,True,,0.4633333333333334
False,False,10.0,l2,liblinear,False,,0.4633333333333333
True,True,10.0,l2,lbfgs,False,,0.4633333333333333
True,True,10.0,l2,newton-cg,False,,0.4633333333333333
False,True,10.0,l2,newton-cg,False,,0.46166666666666667
True,False,10.0,l2,liblinear,True,,0.46166666666666667
False,True,10.0,l2,lbfgs,False,,0.46166666666666667
True,False,100.0,l2,liblinear,False,,0.46
False,False,10.0,l2,lbfgs,True,,0.45999999999999996
False,False,10.0,l2,newton-cg,True,,0.45999999999999996
False,True,10.0,l2,liblinear,False,english,0.4583333333333333
False,True,10.0,l2,liblinear,False,,0.4583333333333333
False,False,10.0,l2,liblinear,True,,0.4583333333333333
False,True,10.0,l2,liblinear,True,,0.4583333333333333
False,True,100.0,l2,liblinear,True,,0.4583333333333333
False,True,0.01,l2,liblinear,False,english,0.4583333333333333
False,False,1.0,l2,lbfgs,True,,0.4583333333333333
True,False,100.0,l2,liblinear,True,,0.4583333333333333
False,False,1.0,l2,newton-cg,True,,0.4583333333333333
True,True,100.0,l2,newton-cg,False,english,0.4566666666666667
True,True,10.0,l2,liblinear,False,english,0.4566666666666667
False,True,100.0,l2,lbfgs,False,english,0.4566666666666667
False,True,100.0,l2,newton-cg,False,english,0.4566666666666667
True,True,100.0,l2,lbfgs,False,english,0.4566666666666667
True,False,1.0,l2,liblinear,True,,0.4566666666666666
True,True,100.0,l2,lbfgs,True,,0.4566666666666666
True,False,10.0,l2,liblinear,False,english,0.4566666666666666
True,True,100.0,l2,newton-cg,True,,0.4566666666666666
False,True,10.0,l2,lbfgs,True,,0.455
True,False,10.0,l2,newton-cg,True,,0.455
False,False,100.0,l2,newton-cg,True,,0.455
False,True,0.01,l2,liblinear,True,english,0.455
True,False,10.0,l2,newton-cg,False,english,0.455
True,False,10.0,l2,lbfgs,True,,0.455
False,True,10.0,l2,newton-cg,True,,0.455
True,True,100.0,l2,liblinear,True,,0.455
False,False,100.0,l2,lbfgs,True,,0.455
True,True,100.0,l2,liblinear,False,english,0.455
False,True,100.0,l2,newton-cg,False,,0.455
True,False,1.0,l2,liblinear,False,,0.455
True,True,1.0,l2,liblinear,True,,0.455
True,False,10.0,l2,lbfgs,False,english,0.455
False,False,100.0,l2,liblinear,True,,0.45333333333333337
False,True,100.0,l2,lbfgs,False,,0.45333333333333337
True,False,100.0,l2,lbfgs,False,english,0.45333333333333337
True,True,0.1,l2,newton-cg,True,,0.45333333333333337
True,False,100.0,l2,newton-cg,False,english,0.45333333333333337
False,True,1.0,l2,newton-cg,True,,0.45333333333333337
False,True,1.0,l2,liblinear,True,,0.45333333333333337
True,True,0.1,l2,lbfgs,True,,0.45333333333333337
False,True,1.0,l2,lbfgs,True,,0.45333333333333337
False,False,0.01,l2,liblinear,False,english,0.4533333333333333
False,True,100.0,l2,liblinear,False,,0.4533333333333333
True,True,10.0,l2,newton-cg,False,english,0.4533333333333333
False,True,1.0,l2,liblinear,False,,0.4533333333333333
True,True,10.0,l2,lbfgs,False,english,0.4533333333333333
True,True,1.0,l2,newton-cg,False,,0.4533333333333333
True,True,1.0,l2,lbfgs,False,,0.4533333333333333
True,True,1.0,l2,liblinear,False,,0.4533333333333333
False,False,0.01,l2,liblinear,True,english,0.4533333333333333
True,False,1.0,l2,lbfgs,False,,0.45166666666666666
True,False,1.0,l2,lbfgs,True,,0.45166666666666666
True,False,1.0,l2,newton-cg,True,,0.45166666666666666
True,False,1.0,l2,newton-cg,False,,0.45166666666666666
False,True,100.0,l2,liblinear,False,english,0.45166666666666666
False,False,0.1,l2,lbfgs,True,,0.45166666666666666
True,True,10.0,l2,lbfgs,True,,0.45166666666666666
False,True,1.0,l2,newton-cg,False,,0.45166666666666666
False,True,1.0,l2,lbfgs,False,,0.45166666666666666
False,False,0.1,l2,newton-cg,True,,0.45166666666666666
False,False,1.0,l2,liblinear,False,,0.45166666666666666
False,False,100.0,l2,newton-cg,False,english,0.45166666666666666
False,False,100.0,l2,newton-cg,False,,0.45166666666666666
False,False,100.0,l2,lbfgs,False,english,0.45166666666666666
False,False,100.0,l2,lbfgs,False,,0.45166666666666666
True,True,10.0,l2,newton-cg,True,,0.45166666666666666
False,False,1.0,l2,liblinear,True,,0.45166666666666666
False,True,10.0,l2,lbfgs,False,english,0.45
False,True,100.0,l2,newton-cg,True,,0.45
False,True,100.0,l2,lbfgs,True,,0.45
True,True,1.0,l2,lbfgs,True,,0.45
True,True,1.0,l2,newton-cg,True,,0.45
False,False,100.0,l2,liblinear,False,english,0.45
False,True,0.1,l2,lbfgs,True,,0.45
False,True,10.0,l2,newton-cg,False,english,0.45
False,True,0.1,l2,newton-cg,True,,0.45
False,False,100.0,l2,liblinear,False,,0.44999999999999996
True,False,0.01,l2,liblinear,False,english,0.44999999999999996
True,False,0.1,l2,newton-cg,True,,0.4483333333333334
True,False,0.1,l2,lbfgs,True,,0.4483333333333334
True,False,100.0,l2,liblinear,False,english,0.4466666666666667
False,True,100.0,l2,lbfgs,True,english,0.4466666666666666
False,True,100.0,l2,newton-cg,True,english,0.4466666666666666
True,True,0.01,l2,liblinear,False,english,0.4466666666666666
False,True,10.0,l2,liblinear,True,english,0.445
False,False,10.0,l2,newton-cg,False,english,0.445
False,False,10.0,l2,lbfgs,False,english,0.445
False,False,1.0,l2,newton-cg,False,,0.445
False,True,0.01,l2,lbfgs,True,,0.445
False,False,10.0,l2,liblinear,False,english,0.445
False,False,1.0,l2,lbfgs,False,,0.445
False,True,0.01,l2,newton-cg,True,,0.445
False,True,0.1,l2,liblinear,False,,0.44333333333333336
False,False,0.01,l2,lbfgs,False,,0.4416666666666667
False,False,0.01,l2,newton-cg,False,,0.4416666666666667
True,True,0.01,l2,newton-cg,True,,0.44166666666666665
False,False,1.0,l2,lbfgs,False,english,0.44166666666666665
False,False,1.0,l2,newton-cg,False,english,0.44166666666666665
True,True,0.01,l2,lbfgs,True,,0.44166666666666665
False,True,1.0,l2,lbfgs,False,english,0.44166666666666665
False,False,0.01,l2,newton-cg,True,,0.44166666666666665
False,False,0.01,l2,lbfgs,True,,0.44166666666666665
True,True,0.1,l2,lbfgs,False,,0.44166666666666665
False,True,1.0,l2,newton-cg,False,english,0.44166666666666665
True,True,0.1,l2,newton-cg,False,,0.44166666666666665
True,True,1.0,l2,newton-cg,False,english,0.44
False,False,0.1,l2,liblinear,False,,0.44
True,True,1.0,l2,lbfgs,False,english,0.44
False,False,10.0,l2,liblinear,True,english,0.44
False,True,0.1,l2,newton-cg,False,,0.44
False,True,100.0,l2,liblinear,True,english,0.44
False,False,10.0,l2,newton-cg,True,english,0.44
False,False,10.0,l2,lbfgs,True,english,0.44
False,True,0.1,l2,lbfgs,False,,0.44
True,False,1.0,l2,newton-cg,False,english,0.43999999999999995
False,True,0.01,l2,lbfgs,False,,0.43999999999999995
True,False,0.1,l2,liblinear,True,,0.43999999999999995
