cleaner__getlemmatisation,cleaner__removedigit,mnb__alpha,mnb__fit_prior,mnb__force_alpha,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,0.5,True,True,False,english,0.5142857142857143
False,True,0.5,False,False,False,english,0.5142857142857143
False,False,0.5,False,True,False,english,0.5142857142857143
False,False,0.5,True,False,False,english,0.5142857142857143
False,False,0.5,True,True,False,english,0.5142857142857143
False,False,0.5,False,False,False,english,0.5142857142857143
False,True,0.5,False,True,False,english,0.5142857142857143
False,True,0.5,True,False,False,english,0.5142857142857143
False,True,0.7,True,True,False,english,0.5095238095238096
False,True,0.7,True,False,False,english,0.5095238095238096
False,True,0.7,False,True,False,english,0.5095238095238096
False,True,0.7,False,False,False,english,0.5095238095238096
False,False,1.1,True,False,False,english,0.5083333333333334
False,False,1.1,True,True,False,english,0.5083333333333334
False,False,1.1,False,False,False,english,0.5083333333333334
False,False,1.1,False,True,False,english,0.5083333333333334
False,False,0.7,False,True,False,english,0.5083333333333333
False,False,0.7,True,False,False,english,0.5083333333333333
False,False,0.7,True,True,False,english,0.5083333333333333
False,False,0.7,False,False,False,english,0.5083333333333333
False,False,0.9,False,False,False,english,0.5071428571428572
False,False,0.9,False,True,False,english,0.5071428571428572
False,False,0.9,True,False,False,english,0.5071428571428572
False,False,0.9,True,True,False,english,0.5071428571428572
False,True,0.9,False,True,False,english,0.5059523809523809
False,True,0.9,True,False,False,english,0.5059523809523809
False,True,0.9,True,True,False,english,0.5059523809523809
False,True,0.5,False,False,True,english,0.5059523809523809
False,True,0.5,False,True,True,english,0.5059523809523809
False,True,0.5,True,False,True,english,0.5059523809523809
False,True,0.9,False,False,False,english,0.5059523809523809
False,True,0.5,True,True,True,english,0.5059523809523809
False,False,1.3,False,False,False,english,0.5047619047619047
False,False,1.3,False,True,False,english,0.5047619047619047
False,False,1.3,True,False,False,english,0.5047619047619047
False,False,1.3,True,True,False,english,0.5047619047619047
False,False,0.5,False,False,True,,0.5035714285714286
False,False,0.5,True,False,True,,0.5035714285714286
False,False,0.5,False,True,True,,0.5035714285714286
False,False,0.5,True,True,True,,0.5035714285714286
False,True,1.5,True,True,True,english,0.5023809523809524
False,True,0.5,True,False,True,,0.5023809523809524
False,False,1.5,False,True,False,english,0.5023809523809524
False,True,1.5,True,False,True,english,0.5023809523809524
False,True,1.5,False,True,True,english,0.5023809523809524
False,True,1.5,False,False,True,english,0.5023809523809524
False,False,0.5,True,True,True,english,0.5023809523809524
False,True,0.5,True,True,True,,0.5023809523809524
False,True,0.5,False,False,True,,0.5023809523809524
False,False,0.5,True,False,True,english,0.5023809523809524
False,False,0.5,False,True,True,english,0.5023809523809524
False,False,0.5,False,False,True,english,0.5023809523809524
False,False,1.5,True,True,False,english,0.5023809523809524
False,True,0.5,False,True,True,,0.5023809523809524
False,False,1.5,False,False,False,english,0.5023809523809524
False,False,1.5,True,False,False,english,0.5023809523809524
False,True,1.3,False,False,True,english,0.5011904761904762
False,True,1.3,True,False,True,english,0.5011904761904762
False,True,1.3,True,True,True,english,0.5011904761904762
False,True,1.1,False,False,True,english,0.5011904761904762
False,True,1.1,False,True,True,english,0.5011904761904762
False,True,1.1,True,False,True,english,0.5011904761904762
False,True,1.1,True,True,True,english,0.5011904761904762
False,False,1.1,True,True,True,english,0.5011904761904762
False,False,1.1,True,False,True,english,0.5011904761904762
False,False,1.1,False,False,True,english,0.5011904761904762
False,False,0.7,True,False,True,english,0.5011904761904762
False,False,0.7,True,True,True,english,0.5011904761904762
False,False,1.1,False,True,True,english,0.5011904761904762
False,False,0.7,False,True,True,english,0.5011904761904762
False,True,1.3,False,True,True,english,0.5011904761904762
False,False,0.7,False,False,True,english,0.5011904761904762
False,True,0.9,False,False,True,english,0.5
False,True,0.7,False,False,True,english,0.5
False,False,1.3,False,False,True,english,0.5
False,True,0.9,True,True,True,english,0.5
False,True,0.9,True,False,True,english,0.5
False,False,1.3,False,True,True,english,0.5
False,True,0.9,False,True,True,english,0.5
False,True,0.7,True,True,True,english,0.5
False,False,1.3,True,False,True,english,0.5
False,True,0.7,False,True,True,english,0.5
False,True,0.7,True,False,True,english,0.5
False,False,1.3,True,True,True,english,0.5
False,True,0.7,True,True,True,,0.4988095238095238
False,True,0.5,True,True,False,,0.4988095238095238
False,True,0.5,False,False,False,,0.4988095238095238
False,True,0.7,True,False,True,,0.4988095238095238
False,True,0.5,True,False,False,,0.4988095238095238
False,True,0.5,False,True,False,,0.4988095238095238
False,False,0.9,True,False,True,english,0.4988095238095238
False,True,0.7,False,True,True,,0.4988095238095238
False,True,1.3,True,False,False,english,0.4988095238095238
False,False,0.9,False,True,True,english,0.4988095238095238
False,False,0.7,False,False,True,,0.4988095238095238
False,False,0.9,False,False,True,english,0.4988095238095238
False,False,0.7,False,True,True,,0.4988095238095238
False,False,0.7,True,False,True,,0.4988095238095238
False,False,0.7,True,True,True,,0.4988095238095238
False,True,1.3,False,False,False,english,0.4988095238095238
False,True,1.3,False,True,False,english,0.4988095238095238
False,True,1.3,True,True,False,english,0.4988095238095238
False,True,1.1,False,False,False,english,0.4988095238095238
False,False,0.9,True,True,True,english,0.4988095238095238
False,True,1.1,True,False,False,english,0.4988095238095238
False,True,1.1,True,True,False,english,0.4988095238095238
False,True,0.7,False,False,True,,0.4988095238095238
False,True,1.1,False,True,False,english,0.4988095238095238
False,False,1.5,True,True,True,english,0.4976190476190476
False,False,1.5,True,False,True,english,0.4976190476190476
False,False,1.5,False,True,True,english,0.4976190476190476
False,False,1.5,False,False,True,english,0.4976190476190476
True,True,0.5,True,True,True,english,0.4976190476190476
True,True,0.5,False,False,True,english,0.4976190476190476
True,True,0.5,True,False,True,english,0.4976190476190476
True,True,0.5,False,True,True,english,0.4976190476190476
False,False,0.9,False,False,True,,0.49642857142857144
True,False,0.9,True,True,False,english,0.49642857142857144
True,False,1.1,True,True,False,english,0.49642857142857144
True,False,0.5,False,True,False,english,0.49642857142857144
True,False,0.9,False,False,False,english,0.49642857142857144
False,True,1.5,False,False,False,english,0.49642857142857144
True,False,1.1,False,True,False,english,0.49642857142857144
True,False,0.5,False,False,False,english,0.49642857142857144
True,False,0.9,False,True,False,english,0.49642857142857144
False,False,0.9,True,False,True,,0.49642857142857144
True,False,0.9,True,False,False,english,0.49642857142857144
True,False,1.1,False,False,False,english,0.49642857142857144
False,True,1.5,False,True,False,english,0.49642857142857144
True,False,1.1,True,False,False,english,0.49642857142857144
False,False,0.9,False,True,True,,0.49642857142857144
False,True,1.5,True,False,False,english,0.49642857142857144
True,False,0.5,True,True,False,english,0.49642857142857144
False,False,0.9,True,True,True,,0.49642857142857144
False,True,1.5,True,True,False,english,0.49642857142857144
True,False,0.5,True,False,False,english,0.49642857142857144
True,True,0.5,True,False,False,english,0.49523809523809526
True,True,0.7,True,False,False,english,0.49523809523809526
True,False,1.3,True,False,False,english,0.49523809523809526
True,True,1.1,False,True,True,english,0.49523809523809526
True,True,1.1,False,False,True,english,0.49523809523809526
True,False,1.3,False,True,False,english,0.49523809523809526
True,False,1.5,True,False,True,english,0.49523809523809526
True,True,0.7,False,True,True,english,0.49523809523809526
True,True,0.7,False,False,True,english,0.49523809523809526
True,False,1.3,False,False,False,english,0.49523809523809526
True,False,1.3,True,True,False,english,0.49523809523809526
True,False,1.5,False,True,True,english,0.49523809523809526
True,True,0.7,True,True,True,english,0.49523809523809526
True,True,0.7,False,True,False,english,0.49523809523809526
True,False,1.5,True,True,True,english,0.49523809523809526
True,True,1.1,True,True,True,english,0.49523809523809526
True,True,0.5,False,False,False,english,0.49523809523809526
True,True,0.9,False,True,True,english,0.49523809523809526
True,True,0.9,True,False,True,english,0.49523809523809526
True,True,0.7,False,False,False,english,0.49523809523809526
True,True,0.9,False,False,True,english,0.49523809523809526
True,True,0.5,True,True,False,english,0.49523809523809526
