cleaner__getlemmatisation,cleaner__removedigit,rfc__max_depth,rfc__min_samples_leaf,rfc__min_samples_split,rfc__n_estimators,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,30,2,5,500,False,,0.48333333333333334
False,True,30,1,5,500,True,,0.48333333333333334
False,True,25,1,5,1200,False,,0.4766666666666666
False,False,30,1,10,1200,True,,0.4766666666666666
False,True,30,1,10,500,True,,0.4733333333333334
False,True,25,2,10,1200,True,,0.4733333333333334
True,False,25,1,10,500,False,,0.4716666666666667
True,False,25,2,5,1200,True,,0.4716666666666667
False,False,30,1,15,500,True,,0.4716666666666667
False,True,25,1,15,500,False,,0.47000000000000003
True,True,30,2,10,1200,False,,0.47
False,True,30,1,10,1200,True,,0.47
False,True,30,1,10,500,False,,0.4683333333333333
True,False,25,2,10,1200,False,,0.4683333333333333
False,False,30,2,10,1200,False,,0.4683333333333333
True,False,25,2,10,500,False,,0.4683333333333333
False,True,25,2,15,1200,True,,0.4683333333333333
True,False,30,2,15,1200,False,,0.4683333333333333
False,False,25,2,10,1200,False,,0.46833333333333327
False,False,30,2,5,1200,False,,0.46666666666666673
False,False,25,1,15,500,False,english,0.46666666666666673
False,True,30,2,15,500,False,english,0.46666666666666673
False,False,25,2,5,500,False,,0.4666666666666666
True,False,25,1,15,500,False,,0.4666666666666666
True,True,30,1,10,500,False,,0.4666666666666666
False,False,25,2,5,1200,False,,0.465
False,False,25,1,5,1200,True,,0.465
False,False,25,2,5,1200,True,,0.465
False,False,30,2,15,1200,False,,0.465
True,False,25,1,5,1200,True,,0.465
True,False,25,1,15,500,True,,0.465
True,False,25,1,15,1200,True,,0.465
False,False,30,1,5,1200,True,,0.465
True,False,25,2,10,1200,True,,0.465
True,False,30,1,5,500,True,,0.465
True,False,30,1,10,1200,False,,0.465
False,True,25,2,15,1200,False,english,0.465
False,True,25,1,15,500,True,,0.465
False,True,30,2,5,500,True,,0.465
True,False,25,1,5,1200,False,,0.465
False,False,30,1,15,1200,False,,0.465
False,False,30,1,10,1200,False,,0.465
False,False,30,2,15,500,False,,0.465
True,True,25,1,15,1200,True,,0.465
False,False,30,2,10,500,True,,0.465
True,True,25,2,10,1200,True,,0.4633333333333334
True,True,30,2,15,1200,True,,0.4633333333333334
True,False,30,2,10,1200,False,,0.4633333333333334
False,True,30,2,15,1200,True,,0.4633333333333334
True,False,25,2,15,1200,True,,0.4633333333333334
True,True,25,1,10,500,False,,0.4633333333333334
False,True,25,2,5,500,True,,0.4633333333333333
True,True,25,2,15,1200,False,,0.4633333333333333
False,False,25,1,10,1200,True,,0.4633333333333333
True,True,25,2,15,1200,True,,0.4633333333333333
True,False,25,1,10,1200,False,,0.4633333333333333
False,True,25,1,15,1200,True,,0.4633333333333333
True,False,30,1,5,1200,True,,0.4633333333333333
False,False,25,1,10,500,False,english,0.4633333333333333
False,False,25,1,5,1200,False,,0.46166666666666667
False,True,25,1,5,500,False,english,0.46166666666666667
False,True,25,2,5,1200,False,,0.46166666666666667
True,True,30,2,5,1200,True,,0.46166666666666667
True,True,30,2,5,1200,False,,0.46166666666666667
True,True,30,2,5,500,False,,0.46166666666666667
False,False,30,1,15,1200,True,,0.46166666666666667
True,False,30,2,10,1200,True,,0.46166666666666667
True,False,25,1,10,1200,True,,0.46166666666666667
True,False,25,2,5,1200,False,,0.46166666666666667
True,False,30,2,5,1200,False,,0.46166666666666667
False,False,30,2,5,1200,True,,0.46166666666666667
False,True,25,2,10,1200,False,english,0.46166666666666667
False,False,25,2,15,500,False,english,0.46166666666666667
False,True,30,1,15,1200,False,,0.46166666666666667
False,True,30,1,15,1200,True,,0.46166666666666667
False,True,25,1,10,1200,True,english,0.46166666666666667
False,True,30,2,15,1200,False,english,0.46
False,True,25,2,5,1200,False,english,0.46
False,True,25,1,15,1200,False,,0.46
True,True,25,2,5,500,True,,0.46
True,True,25,1,10,1200,False,,0.46
False,True,25,2,15,500,False,english,0.46
False,True,25,1,10,1200,False,english,0.46
False,True,25,1,10,1200,True,,0.46
True,True,25,2,15,500,False,,0.46
True,False,25,2,15,500,True,,0.45999999999999996
True,True,30,1,15,1200,True,,0.45999999999999996
True,False,25,1,15,1200,False,,0.45999999999999996
False,True,30,2,15,1200,False,,0.45999999999999996
True,False,25,2,5,500,True,,0.45999999999999996
False,False,25,1,5,500,False,,0.4583333333333333
True,True,25,2,10,500,False,,0.4583333333333333
True,True,30,1,5,1200,False,english,0.4583333333333333
False,False,25,2,10,1200,False,english,0.4583333333333333
False,True,25,2,15,500,True,,0.4583333333333333
False,True,30,1,5,1200,True,,0.4583333333333333
True,True,30,2,15,500,True,,0.4583333333333333
False,True,25,1,15,1200,False,english,0.4583333333333333
False,False,30,2,10,1200,False,english,0.4583333333333333
False,False,30,2,10,500,False,,0.4583333333333333
False,False,25,2,10,500,False,english,0.4583333333333333
False,True,30,1,15,1200,False,english,0.4566666666666667
True,False,25,2,15,1200,False,,0.4566666666666667
False,False,25,2,15,1200,True,,0.4566666666666667
True,True,30,1,10,500,True,,0.4566666666666667
False,True,30,1,5,1200,False,,0.4566666666666667
True,False,30,2,5,1200,True,,0.4566666666666667
False,True,25,2,10,1200,True,english,0.4566666666666667
False,True,30,2,10,1200,False,english,0.4566666666666667
False,False,30,2,5,500,False,,0.4566666666666667
True,True,30,2,10,500,True,,0.4566666666666667
False,False,25,2,10,500,True,,0.4566666666666667
True,True,30,1,15,500,False,,0.4566666666666667
False,True,25,2,10,500,False,,0.4566666666666666
False,True,30,2,5,1200,True,,0.4566666666666666
False,True,30,2,5,1200,False,,0.4566666666666666
False,True,30,2,10,500,True,,0.4566666666666666
False,False,30,2,5,1200,False,english,0.4566666666666666
False,True,25,2,10,500,False,english,0.4566666666666666
False,True,30,1,10,1200,False,,0.4566666666666666
True,True,30,1,10,1200,False,,0.4566666666666666
False,True,30,2,15,500,True,,0.4566666666666666
True,True,30,2,10,1200,True,,0.4566666666666666
False,True,30,1,15,500,True,,0.455
True,True,30,1,15,1200,False,,0.455
False,False,25,1,10,500,False,,0.455
False,False,30,1,5,500,True,,0.455
True,False,25,2,15,500,False,,0.455
True,False,30,2,15,500,True,,0.455
False,False,25,2,5,1200,False,english,0.455
False,False,25,2,15,500,False,,0.455
False,True,25,1,5,1200,True,english,0.455
False,False,25,1,5,1200,False,english,0.455
False,False,30,2,10,1200,True,,0.455
False,True,25,1,15,500,True,english,0.455
True,False,30,1,10,1200,True,,0.455
False,True,30,2,10,1200,True,,0.455
True,False,30,1,15,1200,False,,0.455
True,True,30,1,5,1200,True,,0.45333333333333337
False,False,25,2,10,500,True,english,0.45333333333333337
True,False,30,1,15,500,False,,0.45333333333333337
True,False,30,2,15,1200,False,english,0.45333333333333337
True,True,25,2,5,500,False,,0.45333333333333337
True,True,25,1,5,1200,True,,0.45333333333333337
True,False,25,2,15,1200,False,english,0.45333333333333337
False,True,30,1,15,500,False,english,0.45333333333333337
True,True,25,2,15,500,True,,0.45333333333333337
False,False,25,2,15,1200,False,english,0.45333333333333337
False,True,30,2,5,1200,False,english,0.45333333333333337
False,False,30,2,10,500,False,english,0.45333333333333337
True,False,30,1,15,1200,True,,0.4533333333333333
True,False,30,1,15,500,False,english,0.4533333333333333
False,True,25,1,10,1200,False,,0.4533333333333333
False,True,30,2,5,500,False,english,0.4533333333333333
False,True,25,2,10,500,True,,0.4533333333333333
True,False,25,1,5,500,False,,0.4533333333333333
False,False,25,1,15,1200,True,,0.4533333333333333
False,False,25,1,15,1200,False,,0.4533333333333333
True,True,30,1,10,500,False,english,0.4533333333333333
True,True,25,1,5,500,False,,0.4533333333333333
True,False,30,2,5,500,True,english,0.4533333333333333
False,True,25,2,10,1200,False,,0.45166666666666666
False,False,30,2,15,1200,True,english,0.45166666666666666
False,True,25,2,5,1200,True,,0.45166666666666666
True,False,30,2,5,500,True,,0.45166666666666666
False,False,30,2,15,1200,True,,0.45166666666666666
False,True,25,1,10,500,False,,0.45166666666666666
False,False,30,1,5,1200,False,,0.45166666666666666
True,True,30,2,5,1200,True,english,0.45166666666666666
False,False,30,2,5,500,True,english,0.45166666666666666
False,False,25,1,15,500,False,,0.45166666666666666
False,True,30,1,10,1200,False,english,0.45166666666666666
True,False,30,1,5,1200,False,english,0.45166666666666666
False,False,25,1,10,1200,False,,0.45166666666666666
False,False,30,1,15,1200,False,english,0.45166666666666666
True,True,25,1,15,1200,False,english,0.45166666666666666
False,False,30,1,10,1200,False,english,0.45166666666666666
True,True,25,1,15,1200,False,,0.45166666666666666
True,True,30,2,15,500,False,,0.45166666666666666
True,False,25,1,5,500,True,,0.45166666666666666
False,False,25,1,10,1200,False,english,0.45
False,False,25,1,5,500,True,,0.45
False,False,25,2,5,500,False,english,0.45
False,True,30,2,15,500,False,,0.45
False,False,25,2,15,500,True,,0.45
False,True,30,2,10,500,False,,0.45
False,False,30,2,5,1200,True,english,0.45
False,True,30,2,5,500,True,english,0.45
True,False,30,1,5,500,False,,0.45
True,True,25,2,15,1200,False,english,0.45
False,False,25,2,15,500,True,english,0.44999999999999996
False,False,30,2,15,1200,False,english,0.44999999999999996
False,True,25,1,5,1200,True,,0.44999999999999996
True,True,25,1,5,1200,False,,0.44999999999999996
