cleaner__getlemmatisation,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,10.0,0.1,rbf,True,,0.7820635006263749
False,False,10.0,0.1,rbf,True,,0.7790694886503271
False,True,10.0,1.0,linear,True,,0.77707647767528
False,True,10.0,0.01,linear,True,,0.77707647767528
False,True,10.0,0.1,linear,True,,0.77707647767528
False,True,10.0,0.001,linear,True,,0.77707647767528
False,True,10.0,0.01,linear,False,english,0.7760724796652941
False,True,10.0,0.1,linear,False,english,0.7760724796652941
False,True,10.0,1.0,linear,False,english,0.7760724796652941
False,True,10.0,0.001,linear,False,english,0.7760724796652941
False,True,10.0,0.1,rbf,False,english,0.775071478664293
False,False,10.0,0.001,linear,True,,0.7730754706802611
False,False,10.0,0.1,linear,True,,0.7730754706802611
False,False,10.0,1.0,linear,True,,0.7730754706802611
False,False,10.0,0.01,linear,True,,0.7730754706802611
False,False,10.0,0.1,rbf,False,english,0.7730724736712761
True,True,10.0,0.1,rbf,True,,0.773066479653306
False,False,10.0,1.0,sigmoid,False,english,0.7720744696792602
False,True,10.0,0.1,rbf,False,,0.77205648762535
True,True,10.0,1.0,linear,True,,0.7720534906163649
True,True,10.0,0.001,linear,True,,0.7720534906163649
True,True,10.0,0.1,linear,True,,0.7720534906163649
True,True,10.0,0.01,linear,True,,0.7720534906163649
True,False,10.0,1.0,linear,False,,0.7710854567141991
True,False,10.0,0.01,linear,False,,0.7710854567141991
True,False,10.0,0.1,linear,False,,0.7710854567141991
True,False,10.0,0.001,linear,False,,0.7710854567141991
False,True,10.0,0.1,linear,False,,0.7710704716692741
False,True,10.0,1.0,linear,False,,0.7710704716692741
False,True,10.0,0.001,linear,False,,0.7710704716692741
False,True,10.0,0.01,linear,False,,0.7710704716692741
True,False,10.0,0.1,rbf,True,,0.7710674746602891
False,False,10.0,0.1,linear,False,english,0.770066473659288
False,False,10.0,1.0,linear,False,english,0.770066473659288
False,False,10.0,0.01,linear,False,english,0.770066473659288
False,False,10.0,0.001,linear,False,english,0.770066473659288
True,True,10.0,1.0,linear,False,,0.7690834547121973
True,True,10.0,0.01,linear,False,,0.7690834547121973
True,True,10.0,0.1,linear,False,,0.7690834547121973
True,True,10.0,0.001,linear,False,,0.7690834547121973
False,True,10.0,1.0,sigmoid,False,english,0.7690804577032123
True,False,10.0,1.0,rbf,False,,0.769074463685242
False,True,10.0,0.1,linear,True,english,0.769071466676257
False,True,10.0,1.0,linear,True,english,0.769071466676257
False,True,10.0,0.01,linear,True,english,0.769071466676257
False,True,10.0,0.001,linear,True,english,0.769071466676257
True,True,10.0,0.1,rbf,False,english,0.7690654726582871
False,True,10.0,1.0,rbf,True,,0.7690654726582871
False,True,10.0,0.1,sigmoid,True,,0.7690474906043768
False,True,10.0,0.1,sigmoid,False,,0.7690474906043768
False,True,1.0,0.001,linear,False,,0.7690474906043768
False,True,1.0,0.001,linear,True,,0.7690474906043768
False,True,1.0,1.0,linear,True,,0.7690474906043768
False,True,1.0,1.0,linear,False,,0.7690474906043768
False,True,1.0,0.01,linear,True,,0.7690474906043768
False,True,1.0,0.1,linear,True,,0.7690474906043768
False,True,1.0,0.01,linear,False,,0.7690474906043768
False,True,1.0,0.1,linear,False,,0.7690474906043768
False,False,10.0,1.0,rbf,True,,0.768070465675256
True,False,10.0,0.1,rbf,False,,0.768070465675256
False,False,10.0,0.1,linear,False,,0.7670694646742552
True,True,10.0,0.1,rbf,False,,0.7670694646742552
False,False,10.0,0.01,linear,False,,0.7670694646742552
False,False,10.0,0.001,linear,False,,0.7670694646742552
False,False,10.0,1.0,linear,False,,0.7670694646742552
True,True,10.0,0.1,linear,False,english,0.7670634706562852
True,True,10.0,1.0,linear,False,english,0.7670634706562852
True,True,10.0,0.01,linear,False,english,0.7670634706562852
True,True,10.0,0.001,linear,False,english,0.7670634706562852
True,False,10.0,0.1,linear,True,,0.7670574766383149
True,False,10.0,1.0,linear,True,,0.7670574766383149
True,False,10.0,0.01,linear,True,,0.7670574766383149
True,False,10.0,0.001,linear,True,,0.7670574766383149
False,False,1.0,0.001,linear,False,,0.7670484856113599
False,False,1.0,1.0,linear,False,,0.7670484856113599
False,False,10.0,0.1,sigmoid,False,,0.7670484856113599
False,False,1.0,0.01,linear,False,,0.7670484856113599
False,False,1.0,0.1,linear,False,,0.7670484856113599
False,True,10.0,0.1,rbf,True,english,0.7660744576912242
True,False,10.0,0.1,rbf,False,english,0.7660714606822392
True,False,10.0,0.001,linear,False,english,0.7660654666642691
True,False,10.0,1.0,linear,False,english,0.7660654666642691
True,False,10.0,0.01,linear,False,english,0.7660654666642691
True,False,10.0,0.1,linear,False,english,0.7660654666642691
False,False,10.0,0.1,rbf,False,,0.7660654666642691
True,True,10.0,1.0,sigmoid,False,english,0.7650704596812381
True,True,10.0,1.0,rbf,False,,0.7650674626722531
False,True,10.0,1.0,sigmoid,True,,0.7650674626722531
False,False,10.0,0.1,rbf,True,english,0.764072455689222
True,True,10.0,1.0,rbf,True,,0.7640694586802371
False,True,1.0,0.1,linear,False,english,0.7640694586802371
False,True,1.0,1.0,linear,False,english,0.7640694586802371
False,True,1.0,0.001,linear,False,english,0.7640694586802371
False,True,1.0,0.01,linear,False,english,0.7640694586802371
False,True,10.0,1.0,rbf,False,,0.764066461671252
False,False,10.0,1.0,sigmoid,False,,0.7640604676532821
True,True,10.0,0.1,sigmoid,True,,0.7640574706442971
True,True,1.0,0.1,linear,True,,0.7640574706442971
True,True,1.0,1.0,linear,True,,0.7640574706442971
True,True,1.0,0.01,linear,True,,0.7640574706442971
True,True,1.0,0.001,linear,True,,0.7640574706442971
False,False,1.0,0.01,linear,True,,0.764051476626327
False,False,1.0,1.0,linear,True,,0.764051476626327
False,False,1.0,0.1,linear,True,,0.764051476626327
False,False,1.0,0.001,linear,True,,0.764051476626327
False,False,1.0,0.01,linear,False,english,0.7630714546882212
False,False,1.0,0.1,linear,False,english,0.7630714546882212
False,False,10.0,0.1,sigmoid,False,english,0.7630714546882212
False,False,1.0,0.001,linear,False,english,0.7630714546882212
False,False,1.0,1.0,linear,False,english,0.7630714546882212
False,False,10.0,0.001,linear,True,english,0.763071454688221
False,False,10.0,0.1,linear,True,english,0.763071454688221
False,False,10.0,1.0,linear,True,english,0.763071454688221
False,True,10.0,0.1,sigmoid,False,english,0.763071454688221
False,False,10.0,0.01,linear,True,english,0.763071454688221
False,False,10.0,1.0,sigmoid,True,,0.763068457679236
False,False,10.0,0.1,sigmoid,True,,0.763053472634311
True,False,10.0,1.0,rbf,True,,0.7620734506962051
False,False,10.0,1.0,rbf,False,,0.7620734506962051
False,True,10.0,1.0,sigmoid,True,english,0.7620734506962051
True,False,10.0,1.0,sigmoid,False,english,0.7620734506962051
True,True,10.0,1.0,sigmoid,False,,0.7620704536872202
False,True,10.0,1.0,sigmoid,False,,0.7620644596692502
True,True,10.0,1.0,sigmoid,True,,0.7620494746243249
False,False,10.0,1.0,sigmoid,True,english,0.7610724496952042
True,True,1.0,0.1,linear,False,english,0.7600654546762331
False,True,1.0,0.001,linear,True,english,0.7600654546762331
True,True,1.0,0.001,linear,False,english,0.7600654546762331
False,True,1.0,0.01,linear,True,english,0.7600654546762331
True,True,1.0,0.01,linear,False,english,0.7600654546762331
False,True,1.0,1.0,linear,True,english,0.7600654546762331
True,True,1.0,1.0,linear,False,english,0.7600654546762331
False,True,1.0,0.1,linear,True,english,0.7600654546762331
True,True,10.0,1.0,sigmoid,True,english,0.7600654546762331
True,False,1.0,0.1,linear,False,,0.7600504696313081
True,False,1.0,1.0,linear,False,,0.7600504696313081
True,False,1.0,0.01,linear,False,,0.7600504696313081
True,False,1.0,0.001,linear,False,,0.7600504696313081
False,True,1.0,1.0,sigmoid,False,english,0.7590734447021873
False,True,10.0,0.1,sigmoid,True,english,0.7590644536752321
True,True,10.0,0.1,sigmoid,False,english,0.759064453675232
True,False,1.0,0.01,linear,False,english,0.759061456666247
True,False,1.0,1.0,linear,False,english,0.759061456666247
True,False,1.0,0.1,linear,False,english,0.759061456666247
True,False,1.0,0.001,linear,False,english,0.759061456666247
True,False,10.0,0.1,sigmoid,False,english,0.759061456666247
True,False,10.0,0.1,sigmoid,False,,0.7590524656392921
False,False,1.0,1.0,sigmoid,False,english,0.7580784377191563
True,False,10.0,1.0,sigmoid,False,,0.7580754407101713
True,False,10.0,1.0,sigmoid,True,english,0.7580574586562611
True,True,1.0,0.1,linear,False,,0.7580484676293059
True,True,1.0,0.01,linear,False,,0.7580484676293059
True,True,1.0,0.001,linear,False,,0.7580484676293059
True,True,10.0,0.1,sigmoid,False,,0.7580484676293059
True,True,1.0,1.0,linear,False,,0.7580484676293059
True,False,1.0,0.001,linear,True,,0.7560584536632441
True,False,1.0,1.0,linear,True,,0.7560584536632441
True,False,1.0,0.1,linear,True,,0.7560584536632441
True,False,1.0,0.01,linear,True,,0.7560584536632441
True,False,10.0,0.1,sigmoid,True,,0.7560584536632441
False,True,10.0,1.0,rbf,False,english,0.7540864217510924
False,False,10.0,1.0,rbf,False,english,0.7540834247421073
True,True,10.0,1.0,linear,True,english,0.7540594486702271
True,True,10.0,0.1,linear,True,english,0.7540594486702271
True,True,10.0,0.001,linear,True,english,0.7540594486702271
True,True,10.0,0.01,linear,True,english,0.7540594486702271
True,False,10.0,0.01,linear,True,english,0.753058447669226
True,False,10.0,0.001,linear,True,english,0.753058447669226
True,False,10.0,1.0,linear,True,english,0.753058447669226
True,False,10.0,0.1,linear,True,english,0.753058447669226
True,False,10.0,1.0,sigmoid,True,,0.753055450660241
False,True,1.0,1.0,sigmoid,True,,0.7520574466682252
False,True,1.0,1.0,sigmoid,False,,0.7520574466682252
True,False,1.0,1.0,sigmoid,False,english,0.7510684337031642
False,False,10.0,0.1,sigmoid,True,english,0.7510654366941791
False,False,1.0,1.0,linear,True,english,0.7510654366941791
False,False,1.0,0.01,linear,True,english,0.7510654366941791
False,False,1.0,0.1,linear,True,english,0.7510654366941791
False,False,1.0,0.001,linear,True,english,0.7510654366941791
True,True,1.0,1.0,sigmoid,True,,0.7510564456672242
True,True,10.0,0.1,rbf,True,english,0.7510504516492541
True,False,10.0,0.1,rbf,True,english,0.7510474546402689
True,True,1.0,1.0,rbf,True,,0.7500674327021631
True,True,1.0,1.0,sigmoid,False,english,0.7500674327021631
False,False,1.0,1.0,sigmoid,False,,0.7500554446662231
False,True,10.0,1.0,rbf,True,english,0.7480714247181313
False,False,1.0,1.0,sigmoid,True,english,0.7480654307001613
False,True,1.0,1.0,sigmoid,True,english,0.7480624336911762
False,False,1.0,1.0,sigmoid,True,,0.748056439673206
False,True,1.0,1.0,rbf,True,,0.7470584356811901
False,False,10.0,1.0,rbf,True,english,0.7460784137430844
False,True,1.0,1.0,rbf,False,,0.7460634286981592
True,False,1.0,1.0,rbf,True,,0.7450654247061433
True,False,1.0,1.0,sigmoid,True,,0.7450534366702031
True,True,1.0,1.0,sigmoid,False,,0.7450474426522331
True,True,10.0,1.0,rbf,False,english,0.7440854027680376
True,False,10.0,1.0,rbf,False,english,0.7440794087500674
True,True,1.0,1.0,rbf,False,,0.7440794087500674
True,True,1.0,0.1,linear,True,english,0.744043444642247
True,True,10.0,0.1,sigmoid,True,english,0.744043444642247
True,True,1.0,1.0,linear,True,english,0.744043444642247
True,True,1.0,0.01,linear,True,english,0.744043444642247
True,True,1.0,0.001,linear,True,english,0.744043444642247
False,False,1.0,1.0,rbf,True,,0.7430634227041413
False,False,1.0,1.0,rbf,False,,0.7430604256951563
True,False,1.0,0.001,linear,True,english,0.743048437659216
True,False,1.0,0.01,linear,True,english,0.743048437659216
True,False,1.0,0.1,linear,True,english,0.743048437659216
True,False,1.0,1.0,linear,True,english,0.743048437659216
True,False,10.0,0.1,sigmoid,True,english,0.7420474366582152
True,False,1.0,1.0,sigmoid,False,,0.7410554266841691
True,False,1.0,1.0,rbf,False,,0.7400724077370784
True,True,10.0,1.0,rbf,True,english,0.7400694107280934
True,True,10.0,1.0,poly,True,,0.7390803977630324
False,True,1.0,1.0,rbf,False,english,0.7380943818069566
True,False,10.0,1.0,rbf,True,english,0.7380674087260913
False,True,10.0,1.0,poly,False,,0.7370843897790005
False,True,10.0,1.0,poly,True,,0.7360714007420595
True,True,1.0,1.0,rbf,False,english,0.7350883817949686
True,False,10.0,1.0,poly,True,,0.7350823877769986
True,True,1.0,1.0,sigmoid,True,english,0.7350554146961333
False,False,10.0,1.0,poly,True,,0.7340753927580276
False,False,1.0,1.0,rbf,False,english,0.7320913728099357
True,True,10.0,1.0,poly,False,,0.7320883758009508
True,True,1.0,1.0,rbf,True,english,0.7320733907560255
True,False,1.0,1.0,sigmoid,True,english,0.7320524116931303
False,True,1.0,1.0,rbf,True,english,0.7310903718089348
True,False,10.0,1.0,poly,False,,0.7300893708079337
True,False,1.0,1.0,rbf,False,english,0.7300863737989486
False,False,10.0,1.0,poly,False,,0.7290793787799776
True,False,1.0,1.0,rbf,True,english,0.7290733847620076
