cleaner__getlemmatisation,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
False,True,10.0,1.0,sigmoid,True,english,0.5690476190476191
False,False,10.0,1.0,sigmoid,True,english,0.5654761904761905
False,False,10.0,0.1,linear,True,english,0.5642857142857144
False,False,10.0,1.0,linear,True,english,0.5642857142857144
False,False,10.0,0.01,linear,True,english,0.5642857142857144
False,False,10.0,0.001,linear,True,english,0.5642857142857144
False,False,10.0,0.1,rbf,True,,0.5642857142857143
True,False,10.0,0.1,rbf,True,english,0.5642857142857143
False,True,10.0,0.1,rbf,True,,0.5642857142857143
False,False,10.0,0.1,rbf,False,english,0.5630952380952382
True,True,10.0,1.0,sigmoid,True,english,0.5630952380952382
False,False,10.0,0.1,rbf,True,english,0.5619047619047619
False,True,10.0,0.1,rbf,True,english,0.5607142857142858
False,False,10.0,0.1,linear,True,,0.5607142857142857
False,False,10.0,0.001,linear,True,,0.5607142857142857
False,False,10.0,1.0,linear,True,,0.5607142857142857
False,True,10.0,0.001,linear,False,english,0.5607142857142857
False,True,10.0,1.0,linear,False,english,0.5607142857142857
False,True,10.0,0.1,linear,False,english,0.5607142857142857
False,True,10.0,0.01,linear,False,english,0.5607142857142857
False,False,10.0,0.01,linear,True,,0.5607142857142857
False,False,10.0,1.0,sigmoid,True,,0.5607142857142857
True,False,10.0,1.0,sigmoid,True,english,0.5607142857142856
False,True,10.0,0.01,linear,True,english,0.5595238095238095
False,True,10.0,1.0,linear,True,english,0.5595238095238095
True,True,10.0,0.1,rbf,True,english,0.5595238095238095
False,True,10.0,0.1,linear,True,english,0.5595238095238095
False,True,10.0,0.001,linear,True,english,0.5595238095238095
False,False,10.0,0.01,linear,False,english,0.5583333333333332
False,False,10.0,0.001,linear,False,english,0.5583333333333332
False,False,10.0,1.0,linear,False,english,0.5583333333333332
False,False,10.0,0.1,linear,False,english,0.5583333333333332
False,False,1.0,1.0,linear,True,english,0.5571428571428573
False,False,1.0,0.1,linear,True,english,0.5571428571428573
False,False,1.0,0.01,linear,True,english,0.5571428571428573
False,False,10.0,0.1,sigmoid,True,english,0.5571428571428573
False,False,1.0,0.001,linear,True,english,0.5571428571428573
True,True,10.0,0.1,linear,True,english,0.5571428571428572
True,True,10.0,0.01,linear,True,english,0.5571428571428572
False,False,1.0,1.0,sigmoid,False,english,0.5571428571428572
