cleaner__getlemmatisation,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,10.0,0.1,rbf,False,,0.5404761904761904
False,True,10.0,0.1,rbf,False,,0.5345238095238095
True,False,10.0,0.1,sigmoid,True,english,0.5321428571428571
True,False,1.0,0.01,linear,True,english,0.5321428571428571
True,False,1.0,1.0,linear,True,english,0.5321428571428571
True,False,1.0,0.001,linear,True,english,0.5321428571428571
True,False,1.0,0.1,linear,True,english,0.5321428571428571
True,False,1.0,1.0,sigmoid,False,english,0.530952380952381
False,True,1.0,0.1,linear,True,,0.5297619047619048
False,True,1.0,1.0,rbf,False,english,0.5297619047619048
False,True,1.0,1.0,linear,True,,0.5297619047619048
False,True,1.0,0.001,linear,True,,0.5297619047619048
False,True,1.0,0.01,linear,True,,0.5297619047619048
False,True,10.0,0.1,sigmoid,True,,0.5297619047619048
False,False,10.0,1.0,rbf,False,english,0.5285714285714286
False,True,1.0,1.0,linear,True,english,0.5273809523809524
True,False,1.0,0.001,linear,False,english,0.5273809523809524
True,True,10.0,0.1,sigmoid,False,english,0.5273809523809524
True,False,10.0,0.1,sigmoid,False,english,0.5273809523809524
False,True,10.0,0.1,rbf,True,,0.5273809523809524
True,True,1.0,0.01,linear,False,english,0.5273809523809524
False,True,10.0,0.1,sigmoid,True,english,0.5273809523809524
False,False,1.0,1.0,rbf,False,english,0.5273809523809524
True,False,1.0,0.01,linear,False,english,0.5273809523809524
False,True,1.0,0.1,linear,True,english,0.5273809523809524
False,True,1.0,1.0,sigmoid,False,english,0.5273809523809524
True,True,1.0,1.0,linear,False,english,0.5273809523809524
False,True,1.0,0.01,linear,True,english,0.5273809523809524
True,False,1.0,0.1,linear,False,english,0.5273809523809524
False,True,1.0,0.001,linear,True,english,0.5273809523809524
True,True,1.0,0.001,linear,False,english,0.5273809523809524
True,True,1.0,0.1,linear,False,english,0.5273809523809524
True,False,1.0,1.0,linear,False,english,0.5273809523809524
True,True,1.0,0.01,linear,True,english,0.5261904761904762
False,True,1.0,0.01,linear,False,english,0.5261904761904762
False,True,1.0,0.001,linear,False,english,0.5261904761904762
False,False,1.0,1.0,sigmoid,False,english,0.5261904761904762
False,True,1.0,1.0,linear,False,english,0.5261904761904762
False,True,1.0,0.1,linear,False,english,0.5261904761904762
True,True,1.0,1.0,rbf,True,english,0.5261904761904762
True,True,1.0,1.0,linear,True,english,0.5261904761904762
True,True,1.0,0.1,linear,True,english,0.5261904761904762
False,False,10.0,0.1,rbf,True,,0.5261904761904762
False,False,10.0,0.1,sigmoid,False,english,0.5261904761904762
False,True,10.0,0.1,sigmoid,False,english,0.5261904761904762
False,True,10.0,1.0,rbf,False,english,0.5261904761904762
True,True,1.0,0.001,linear,True,english,0.5261904761904762
False,False,10.0,1.0,rbf,False,,0.525
False,False,1.0,1.0,linear,False,english,0.525
False,False,1.0,0.001,linear,False,english,0.525
False,True,10.0,1.0,rbf,False,,0.525
False,False,1.0,0.1,linear,False,english,0.525
True,True,10.0,1.0,rbf,False,english,0.525
False,False,1.0,0.01,linear,False,english,0.525
True,True,10.0,0.1,sigmoid,True,english,0.525
True,True,1.0,1.0,sigmoid,False,english,0.5238095238095238
False,True,10.0,0.1,rbf,True,english,0.5238095238095238
True,False,10.0,1.0,rbf,False,english,0.5238095238095238
False,False,1.0,1.0,sigmoid,True,english,0.5238095238095238
False,True,1.0,1.0,sigmoid,True,english,0.5226190476190476
True,True,1.0,1.0,linear,True,,0.5226190476190476
True,True,1.0,0.001,linear,True,,0.5226190476190476
True,True,1.0,0.1,linear,True,,0.5226190476190476
False,True,10.0,1.0,rbf,True,,0.5226190476190476
True,True,1.0,0.01,linear,True,,0.5226190476190476
True,False,10.0,0.1,rbf,True,,0.5214285714285715
True,True,1.0,1.0,sigmoid,True,english,0.5214285714285715
False,True,1.0,1.0,rbf,True,english,0.5214285714285715
True,True,1.0,1.0,rbf,True,,0.5214285714285714
False,True,10.0,1.0,linear,False,,0.5214285714285714
False,True,10.0,0.1,linear,False,,0.5214285714285714
False,True,10.0,0.001,linear,False,,0.5214285714285714
False,True,1.0,1.0,rbf,True,,0.5214285714285714
False,True,10.0,0.01,linear,False,,0.5214285714285714
